session_id,timestamp,trial_num,level,block_num,event_type,stim_shapes,stim_positions,grid_correct,grid_total,code_shown,code_entered,code_correct,seq_shown,seq_entered,seq_correct,fatigue_self_report,response_time_ms
20260608_103753,2026-06-08T10:38:05.015035,1,1,1,trial_response,"[('■', 9), ('★', 12), ('■', 13)]","[9, 12, 13]",3,3,,,1,,,1,,4084
20260608_103753,2026-06-08T10:38:15.746817,2,1,1,trial_response,"[('▲', 13), ('■', 0), ('⬟', 12)]","[13, 0, 12]",3,3,,,1,,,1,,5914
20260608_103753,2026-06-08T10:38:25.830463,3,1,1,trial_response,"[('●', 1), ('■', 12), ('■', 5)]","[1, 12, 5]",3,3,,,1,,,1,,5264
20260608_103753,2026-06-08T10:38:35.530245,4,1,1,trial_response,"[('▲', 4), ('●', 11), ('●', 3)]","[4, 11, 3]",3,3,,,1,,,1,,4882
20260608_103753,2026-06-08T10:38:46.012591,5,1,1,trial_response,"[('●', 9), ('⬡', 15), ('⬟', 2)]","[9, 15, 2]",3,3,,,1,,,1,,5662
20260608_103753,2026-06-08T10:39:00.797357,5,1,1,fatigue_report,,,,,,,,,,,2:Mildly Fatigued,
20260608_103753,2026-06-08T10:39:11.479901,6,1,2,trial_response,"[('■', 15), ('▲', 7), ('★', 6)]","[15, 7, 6]",2,3,,,1,,,1,,5588
20260608_103753,2026-06-08T10:39:19.263133,7,1,2,trial_response,"[('■', 12), ('◆', 10), ('⬟', 9)]","[12, 10, 9]",1,3,,,1,,,1,,2961
20260608_103753,2026-06-08T10:39:30.113246,8,1,2,trial_response,"[('●', 4), ('★', 13), ('◆', 9)]","[4, 13, 9]",1,3,,,1,,,1,,6032
20260608_103753,2026-06-08T10:39:36.779493,9,1,2,trial_response,"[('⬟', 9), ('■', 10), ('▲', 5)]","[9, 10, 5]",0,3,,,1,,,1,,1848
20260608_103753,2026-06-08T10:39:47.413139,10,1,2,trial_response,"[('⬟', 0), ('●', 15), ('⬡', 5)]","[0, 15, 5]",2,3,,,1,,,1,,5813
20260608_103753,2026-06-08T10:39:50.379592,10,1,2,fatigue_report,,,,,,,,,,,2:Mildly Fatigued,
20260608_103753,2026-06-08T10:40:05.429835,11,2,3,trial_response,"[('★', 5), ('★', 9), ('■', 6)]","[5, 9, 6]",0,3,S2K,S2K,1,,,1,,5847
